"id","name","description","price","sourceURL"
"0","Laptop Asus Vivobook E1404FA-NK186W R5 7520U/16GB/512GB/14\" FHD/Win11","Bạn sẽ thấy rất nhiều tính năng thông minh trên ASUS Vivobook E1404FA. Ở góc Touchpad có khu vực cảm biến vân tay, mở khóa chỉ bằng một lần chạm. Ngoài ra, tính bảo mật và riêng tư còn được thể hiện ở màn trập webcam, giúp bạn đóng webcam hoàn toàn khi không sử dụng để hình ảnh không bị xâm hại.","12290000","/may-tinh-xach-tay/asus-vivobook-e1404fa-nk186w-r5-7520u"
"1","Laptop Dell Inspiron N3520 i5 1235U/16GB/512GB/15.6\"FHD/Win11/Office HS21","Ngoài ra, ở Dell Inspiron N3520 còn có các công nghệ kết nối không dây tiên tiến như Bluetooth 5.2 và Wi-Fi 6. Nhờ đó, bạn sẽ có trải nghiệm kết nối ổn định, tốc độ cao và phạm vi hoạt động rộng mà không cần phụ thuộc vào dây cáp, giúp không gian làm việc hoặc giải trí của bạn gọn gàng và tối ưu hơn.","16490000","/may-tinh-xach-tay/dell-inspiron-n3520-i5-1235u-i5-1235ui5u165w11blu-fp"
"2","Laptop Acer Aspire 3 A315-44P-R5QG R7 5700U/16GB/512GB/15.6\"FHD/Win11","Acer Aspire A315 2023 đã có sự thay đổi lớn về ngôn ngữ thiết kế so với các thế hệ trước. Những đường nét trên máy được làm thanh thoát, hiện đại và trẻ trung hơn. Acer Aspire 3 2023 sử dụng những đường vát thông minh, ngôn ngữ thiết kế phẳng khỏe khoắn, tạo nên một sản phẩm đẹp thanh lịch, chuyên nghiệp. Phiên bản màu bạc kim loại sang trọng cùng độ mỏng nhẹ xuất sắc giúp chiếc laptop của bạn vừa đẹp, vừa di động. Aspire 3 2023 rất dễ dàng để cùng bạn đi bất cứ đâu nhờ độ mỏng chỉ 18,9mm và trọng lượng 1,6kg.","12290000","/may-tinh-xach-tay/acer-aspire-3-a315-44p-r5qg-r7-5700u"
"3","Laptop Asus Gaming Vivobook K3605ZF-RP634W i5-12500H/16GB/512GB/16\"/Nvidia GeForce RTX2050 4GB/Win11","Asus còn phủ lên thân máy lớp chất liệu ức chế vi khuẩn Antimicrobial Guard – bảo vệ chiếc laptop khỏi các tác nhân gây hại đến sức khỏe người dùng. Ước tính, lớp phủ này có thể ức chế 99% các loại vi khuẩn, duy trì hiệu quả ít nhất 3 năm và đạt chuẩn ISO 22196.","16990000","/may-tinh-xach-tay/asus-gaming-vivobook-k3605zf-rp634w-i5-12500h"
"4","Laptop Lenovo Gaming LOQ 15IAX9 i5 12450HX/AI/24GB/512GB/15.6\"FHD/RTX2050 4GB/Win11","Thông qua phần mềm Lenovo Vantage, người dùng có thể thoải mái thiết lập và tùy chỉnh các thông số của thiết bị nhằm nâng cao trải nghiệm game. Cụ thể, bảng điều khiển của Lenovo Vantage cho phép người dùng thực hiện tác vụ ép xung, điều khiển quạt... Tất cả nhằm nâng cao hiệu suất của máy khi chơi game ở những giai đoạn gay cấn với đồ họa phức tạp.","20490000","/may-tinh-xach-tay/lenovo-gaming-loq-15iax9-i5-12450hx-ai-24gb"
"5","Laptop Lenovo Gaming LOQ 15ARP9 R5-7235HS/12GB/512GB/15.6FHD/RTX3050 6GB/Win11","Ngoài ra, Lenovo LOQ 15ARP9 83JC007VVN cũng sở hữu hệ thống cổng kết nối đa dạng, bao gồm 3 cổng USB-A, 1 cổng USB-C, 1 cổng HDMI, jack tai nghe 3.5mm và cổng Ethernet. Bạn có thể dễ dàng kết nối với các thiết bị ngoại vi, màn hình ngoài hoặc mạng LAN.","19490000","/may-tinh-xach-tay/lenovo-gaming-loq-15arp9-r5-7235hs-83jc007hvn"
"6","Laptop ASUS Vivobook 14 OLED A1405ZA-KM264W i5-12500H/16GB/512GB/14\" 2.8K/Win11","Những dòng laptop ASUS thế hệ mới luôn gây ấn tượng bởi thời lượng pin “trâu” và ASUS Vivobook 14 OLED A1405ZA-KM264W cũng vậy. Sản phẩm được trang bị viên pin dung lượng 50Wh, cung cấp nguồn năng lượng dồi dào để hoạt động tốt đến 10 giờ cho các tác vụ kết hợp. Với trang bị này, người dùng có thể yên tâm sử dụng máy ở bất kỳ đâu, không lo vấn đề về pin gây cản trở. Tuy nhiên, để trải nghiệm tốt và liền mạch nhất, bạn nên cắm sạc liên tục nếu có thể, kể cả khi pin đã đầy 100% nhằm đảm bảo nguồn năng lượng luôn ổn định trong suốt quá trình làm việc, giải trí.","15790000","/may-tinh-xach-tay/asus-vivobook-14-oled-a1405za-km264w"
"7","Laptop Dell Inspiron 15 3530 i7 1355U/16GB/512GB/15.6\"FHD/Win11/Office HS24/OS365","Bên cạnh đó, máy còn tích hợp Bluetooth 5.3 mới nhất và Wi-Fi 6, mang đến kết nối không dây tốc độ cao, ổn định trong phạm vi rộng, loại bỏ sự bất tiện của dây cáp và tối ưu trải nghiệm sử dụng.","21490000","/may-tinh-xach-tay/dell-inspiron-15-n3530-i7-1355u-n5i7305w1"
"8","Laptop Asus Vivobook 15 X1504ZA-NJ517W i5-1235U/16GB/512GB/15.6\" FHD/Win11","Viên pin dung lượng 42Wh cho phép máy vận hành ổn định liên tục đến 6 - 7 tiếng đồng hồ tùy mức thiết lập của người dùng. Nhờ đó, bạn có thể yên tâm sử dụng laptop ở những nơi không có nguồn sạc thoải mái mà không lo gián đoạn công việc.","13790000","/may-tinh-xach-tay/asus-vivobook-15-x1504za-nj517w-i5-1235u"
"9","Laptop Acer Aspire Lite AL16-51P-55N7 i5 1235U/16GB/512GB/16\" WUXGA/Win11","Laptop Acer Aspire Lite AL16-51P-55N7 được trang bị bàn phím Fullsize hỗ trợ đầy đủ tất cả các phím chức năng và có thêm dãy phím số ở phía bên phải. Đây là một yếu tố được người dùng văn phòng và các bạn sinh viên chuyên ngành Kế Toán, Quản Trị Kinh Doanh,... đánh giá cao bởi tốc độ nhập liệu tăng lên đáng kể. Bàn phím được thiết kế tỉ mỉ, mang lại cảm giác gõ êm ái, mỗi phím đều có độ nảy tốt. Bàn di chuột cũng có bề mặt rộng và cực nhạy để nhận thao tác vuốt chạm nhanh chóng.","13690000","/may-tinh-xach-tay/acer-aspire-lite-al16-51p-55n7"
"10","Laptop Lenovo Gaming LOQ - 15IAX9 i5 12450HX/AI/16GB/512GB/15.6\"FHD/RTX2050 4GB/Win11","Bạn sẽ có trải nghiệm gaming thật trọn vẹn với hiệu ứng âm thanh 3D sống động và đã tai đến từ mọi hướng. Có được điều này là do Lenovo Gaming LOQ - 15IAX9 được trang bị hệ thống loa tích hợp công nghệ Nahimic Audio tiên tiến. Bạn sẽ cảm nhận rõ mọi thứ, kể cả các tình huống nhỏ trong trò chơi, đồng thời có những giây phút xem phim, nghe nhạc đầy hấp dẫn.","19490000","/may-tinh-xach-tay/lenovo-gaming-loq-15iax9-i5-12450hx"
"11","Laptop HP Pavilion 15-eg3111TU i5 1335U/16GB/512GB/15.6'FHD/Win11","Tận hưởng tốc độ kết nối không dây mượt mà với chuẩn WiFi 6 và Bluetooth 5.3 chuẩn mới trên HP Pavilion 15 eg3111TU. Bạn có thể dễ dàng kết nối với các mạng WiFi công cộng nơi đông người, hay kết nối với các thiết bị không dây như chuột, tai nghe TrueWireless không độ trễ. Không chỉ kết nối có dây, phần kết nối không dây cũng rất đầy đủ với cổng USB Type-C (tích hợp Power Delivery, DisplayPort 1.4); 2 cổng USB Type-A; HDMI và jack tai nghe/mic.","17490000","/may-tinh-xach-tay/hp-pavilion-15-eg3111tu-i5-1335u"
"12","Laptop HP 14s-em0086AU R5 7520U/16GB/512GB/14'FHD/AMD Radeon Graphics/Win11","Với bộ vi xử lý mới tiết kiệm năng lượng hơn cùng viên pin 3 Cell 41Wh giúp thời lượng pin của laptop HP 14s-em0086AU được kéo dài hơn đáng kể. Máy tính có thể sử dụng trong khoảng 9 giờ liên tục mà không cần đến nguồn sạc. Nhờ vậy, những cuộc họp quan trọng hay việc sử dụng laptop trong một chuyến bay dài đều sẽ được đáp ứng một cách hiệu quả. Ngoài ra, laptop còn có tính năng sạc nhanh, giúp sạc đầy 50% pin chỉ sau 45 phút, nhanh chóng đủ năng lượng để bạn tiếp tục sử dụng.","12490000","/may-tinh-xach-tay/hp-14s-em0086au-r5-7520u"
